name,city,country_iso,code,lat,longit,alt
Mutare Airport,Mutare,ZW,UTA,-18.997499465942,32.627201080322,3410
Masvingo International Airport,Masvingo,ZW,MVZ,-20.055299758911133,30.859100341796875,3595
Thornhill Air Base,Gwert,ZW,GWE,-19.436399459838867,29.861900329589844,4680
Hwange National Park Airport,Hwange National Park,ZW,HWN,-18.62989997863769,27.020999908447266,3543
Chileka International Airport,Blantyre,MW,BLZ,-15.679100036621094,34.9739990234375,2555
Karonga Airport,Karonga,MW,KGJ,-9.953570365905762,33.893001556396484,1765
Kasungu Airport,Kasungu,MW,KBQ,-13.014599800109863,33.46860122680664,3470
Lilongwe International Airport,Lilongwe,MW,LLW,-13.7894001007,33.78099823,4035
Mzuzu Airport,Mzuzu,MW,ZZU,-11.444700241088867,34.01179885864258,4115
Moshoeshoe I International Airport,Maseru,LS,MSU,-29.462299346923828,27.552499771118164,5348
Modibo Keita International Airport,Bamako,ML,BKO,12.5335,-7.94994,1247
Gao Airport,Gao,ML,GAQ,16.24839973449707,-0.0054560001008212,870
Kayes Dag Dag Airport,Kayes,ML,KYS,14.481200218200684,-11.404399871826172,164
Mopti Airport,Mopti,ML,MZI,14.5128002167,-4.07955980301,906
Timbuktu Airport,Tombouctou,ML,TOM,16.730499267578125,-3.007580041885376,863
Banjul International Airport,Banjul,GM,BJL,13.338000297546388,-16.65220069885254,95
Fuerteventura Airport,Fuerteventura,ES,FUE,28.452699661254883,-13.863800048828123,85
Hierro Airport,Hierro,ES,VDE,27.81480026245117,-17.887100219726562,103
La Palma Airport,Santa Cruz De La Palma,ES,SPC,28.626499,-17.7556,107
Gran Canaria Airport,Gran Canaria,ES,LPA,27.931900024414062,-15.38659954071045,78
Lanzarote Airport,Arrecife,ES,ACE,28.945499,-13.6052,46
Tenerife South Airport,Tenerife,ES,TFS,28.044500351,-16.5725002289,209
Tenerife Norte Airport,Tenerife,ES,TFN,28.4827003479,-16.3414993286,2076
Melilla Airport,Melilla,ES,MLN,35.279800415,-2.9562599659,156
Lungi International Airport,Freetown,SL,FNA,8.61644,-13.1955,84
Spriggs Payne Airport,Monrovia,LR,MLW,6.289060115814209,-10.758700370788574,25
Roberts International Airport,Monrovia,LR,ROB,6.23379,-10.3623,31
Al Massira Airport,Agadir,MA,AGA,30.325000762939453,-9.41306972503662,250
Tan Tan Airport,Tan Tan,MA,TTA,28.44820022583008,-11.161299705505373,653
Saïss Airport,Fes,MA,FEZ,33.9272994995,-4.977960109709999,1900
Moulay Ali Cherif Airport,Er-rachidia,MA,ERH,31.9475002289,-4.39833021164,3428
Bassatine Airport,Meknes,MA,MEK,33.87910079956055,-5.515120029449463,1890
Angads Airport,Oujda,MA,OUD,34.787200927734375,-1.92399001121521,1535
Ben Slimane Airport,Ben Slimane,MA,GMD,33.655399,-7.22145,627
Rabat-Salé Airport,Rabat,MA,RBA,34.051498,-6.75152,276
Mohammed V International Airport,Casablanca,MA,CMN,33.36750030517578,-7.589970111846924,656
Menara Airport,Marrakech,MA,RAK,31.6068992615,-8.03629970551,1545
Kenitra Airport,Kentira,MA,NNA,34.29890060424805,-6.595880031585693,16
Ouarzazate Airport,Ouarzazate,MA,OZZ,30.9391002655,-6.909430027010001,3782
Cherif Al Idrissi Airport,Al Hociema,MA,AHU,35.177101135253906,-3.83951997756958,95
Saniat R'mel Airport,Tetouan,MA,TTU,35.594299316406,-5.320020198822,10
Ibn Batouta Airport,Tanger,MA,TNG,35.726898193400004,-5.91689014435,62
Ziguinchor Airport,Ziguinchor,SN,ZIG,12.5556,-16.281799,75
Cap Skirring Airport,Cap Skiring,SN,CSK,12.39533,-16.748,52
Kaolack Airport,Kaolack,SN,KLC,14.146900177001951,-16.051300048828125,26
Léopold Sédar Senghor International Airport,Dakar,SN,DKR,14.739700317382812,-17.49020004272461,85
Saint Louis Airport,St. Louis,SN,XLS,16.050800323486328,-16.463199615478516,9
Bakel Airport,Bakel,SN,BXE,14.847299575805664,-12.468299865722656,98
Kédougou Airport,Kedougou,SN,KGG,12.57229995727539,-12.22029972076416,584
Tambacounda Airport,Tambacounda,SN,TUD,13.73680019378662,-13.65310001373291,161
Aioun el Atrouss Airport,Aioun El Atrouss,MR,AEO,16.711299896240234,-9.637880325317385,951
Tidjikja Airport,Tidjikja,MR,TIY,18.57010078430176,-11.423500061035156,1363
Kiffa Airport,Kiffa,MR,KFA,16.59000015258789,-11.406200408935549,424
Néma Airport,Nema,MR,EMN,16.621999740600586,-7.3165998458862305,751
Kaédi Airport,Kaedi,MR,KED,16.159500122070312,-13.50759983062744,66
Nouakchott–Oumtounsy International Airport,Nouakschott,MR,NKC,18.31,-15.9697222,9
Sélibaby Airport,Selibabi,MR,SEY,15.179699897766112,-12.207300186157228,219
Atar International Airport,Atar,MR,ATR,20.506799697875977,-13.04319953918457,734
Nouadhibou International Airport,Nouadhibou,MR,NDB,20.9330997467041,-17.030000686645508,24
Fria Airport,Fira,GN,FIG,10.350600242615,-13.569199562073,499
Faranah Airport,Faranah,GN,FAA,10.0354995728,-10.7698001862,1476
Tata Airport,Labe,GN,LEK,11.326100349426,-12.286800384521,3396
Addis Ababa Bole International Airport,Addis Ababa,ET,ADD,8.97789001465,38.7993011475,7630
Arba Minch Airport,Arba Minch,ET,AMH,6.0393900871276855,37.59049987792969,3901
Axum Airport,Axum,ET,AXU,14.14680004119873,38.77280044555664,6959
Bahir Dar Airport,Bahar Dar,ET,BJR,11.608099937438965,37.32160186767578,5978
Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,ET,DIR,9.624699592590332,41.85419845581055,3827
Gambella Airport,Gambella,ET,GMB,8.12876033782959,34.5630989074707,1614
Gonder Airport,Gondar,ET,GDQ,12.51990032196045,37.43399810791016,6449
Jimma Airport,Jimma,ET,JIM,7.66609001159668,36.81660079956055,5500
Lalibella Airport,Lalibella,ET,LLI,11.975000381469728,38.97999954223633,6506
Mekele Airport,Makale,ET,MQX,13.467399597167969,39.53350067138672,7396
Asosa Airport,Asosa,ET,ASO,10.018500328063965,34.586299896240234,5100
Bujumbura International Airport,Bujumbura,BI,BJM,-3.3240199089050293,29.318500518798828,2582
Egal International Airport,Hargeisa,SO,HGA,9.518170356750488,44.08879852294922,4423
Berbera Airport,Berbera,SO,BBO,10.389200210571287,44.94110107421875,30
Kisimayu Airport,Kismayu,SO,KMU,-0.3773530125617981,42.45920181274414,49
El Nouzha Airport,Alexandria,EG,ALY,31.183900833129883,29.94890022277832,-6
Abu Simbel Airport,Abu Simbel,EG,ABS,22.3759994507,31.611700058,616
Cairo International Airport,Cairo,EG,CAI,30.12190055847168,31.40559959411621,382
Cairo West Airport,Cairo,EG,CWE,30.116399765,30.9153995514,550
Hurghada International Airport,Hurghada,EG,HRG,27.178300857543945,33.799400329589844,52
El Gora Airport,El Gorah,EG,EGH,31.068559,34.129629,324
Luxor International Airport,Luxor,EG,LXR,25.671,32.7066,294
Mersa Matruh Airport,Mersa-matruh,EG,MUH,31.3253993988,27.2217006683,94
Port Said Airport,Port Said,EG,PSD,31.27939987182617,32.2400016784668,8
St Catherine International Airport,St. Catherine,EG,SKV,28.685300827,34.0625,4368
Aswan International Airport,Aswan,EG,ASW,23.9643993378,32.8199996948,662
El Tor Airport,El-tor,EG,ELT,28.208999633789062,33.64550018310547,115
Eldoret International Airport,Eldoret,KE,EDL,0.4044579863548279,35.23889923095703,6941
Kakamega Airport,Kakamega,KE,GGM,0.271342009306,34.7873001099,5020
Kisumu Airport,Kisumu,KE,KIS,-0.0861390009522438,34.72890090942383,3734
Kitale Airport,Kitale,KE,KTL,0.9719889760017396,34.95859909057617,6070
Lodwar Airport,Lodwar,KE,LOK,3.1219699382781982,35.608699798583984,1715
Manda Airstrip,Lamu,KE,LAU,-2.252419948577881,40.91310119628906,20
Mombasa Moi International Airport,Mombasa,KE,MBA,-4.034830093383789,39.594200134277344,200
Nairobi Wilson Airport,Nairobi,KE,WIL,-1.321720004081726,36.81480026245117,5536
Wajir Airport,Wajir,KE,WJR,1.73324,40.091599,770
Ghat Airport,Ghat,LY,GHT,25.1455993652,10.1426000595,2296
Kufra Airport,Kufra,LY,AKF,24.178699493408203,23.31399917602539,1367
Benina International Airport,Benghazi,LY,BEN,32.096801757799994,20.2695007324,433
Sabha Airport,Sebha,LY,SEB,26.98699951171875,14.47249984741211,1427
Tripoli International Airport,Tripoli,LY,TIP,32.6635017395,13.1590003967,263
Marsa Brega Airport,Marsa Brega,LY,LMQ,30.37809944152832,19.576400756835938,50
Hon Airport,Hon,LY,HUQ,29.11009979248047,15.96560001373291,919
